fecha_corte,dia_llamada,NIT,Segmento,prob_opera_manana
2026-06-01,2026-06-02,3376,Pymes,0.9656497329669106
2026-06-01,2026-06-02,899,Pymes,0.9656497329669106
2026-06-01,2026-06-02,9989,Pymes,0.9535162979961781
2026-06-01,2026-06-02,9688,Pymes,0.9508302259894004
2026-06-01,2026-06-02,10677,Pymes,0.9466588049954627
2026-06-01,2026-06-02,9339,Pymes,0.9465416422512289
2026-06-01,2026-06-02,7120,Recuperaciones,0.9438819518118121
2026-06-01,2026-06-02,8672,Sin informacion,0.8402783907729102
2026-06-02,2026-06-03,9116,Banca Privada,0.9479392202318132
2026-06-02,2026-06-03,1840,CIB,0.9772800542360622
2026-06-02,2026-06-03,789,CIB,0.9747037735326406
2026-06-02,2026-06-03,5807,CIB,0.9734373272891566
2026-06-02,2026-06-03,10344,CIB,0.9712295967349462
2026-06-02,2026-06-03,5685,CIB,0.9670848599570505
2026-06-02,2026-06-03,9371,CIB,0.9668101640995036
2026-06-02,2026-06-03,4441,CIB,0.9664297982627602
2026-06-02,2026-06-03,869,CIB,0.9661142049916684
2026-06-02,2026-06-03,5789,CIB,0.9655506034040762
2026-06-02,2026-06-03,7684,CIB,0.9653109699145801
2026-06-02,2026-06-03,5410,CIB,0.9652643207125796
2026-06-02,2026-06-03,7063,Constructor,0.8704682410647105
2026-06-02,2026-06-03,9736,Grandes Empresas,0.9764618862519342
2026-06-02,2026-06-03,3150,Grandes Empresas,0.9742113614044997
2026-06-02,2026-06-03,2016,Grandes Empresas,0.9734277406114314
2026-06-02,2026-06-03,1334,Grandes Empresas,0.9714420718864447
2026-06-02,2026-06-03,10166,Grandes Empresas,0.9705762913571435
2026-06-02,2026-06-03,5698,Grandes Empresas,0.9690184728551123
2026-06-02,2026-06-03,7503,Grandes Empresas,0.9675067109037399
2026-06-02,2026-06-03,7338,Grandes Empresas,0.9652894087974876
2026-06-02,2026-06-03,5324,Grandes Empresas,0.9644955867745753
2026-06-02,2026-06-03,6305,Grandes Empresas,0.963817602958489
2026-06-02,2026-06-03,5810,Grandes Empresas,0.9630287044269795
2026-06-02,2026-06-03,5888,Grandes Empresas,0.9627616657702808
2026-06-02,2026-06-03,2155,Grandes Empresas,0.962542607847143
2026-06-02,2026-06-03,1666,Grandes Empresas,0.9620243746042489
2026-06-02,2026-06-03,2304,Grandes Empresas,0.9614284296008455
2026-06-02,2026-06-03,2448,Grandes Empresas,0.9613489432293906
2026-06-02,2026-06-03,1418,Institucional,0.9687536344878543
2026-06-02,2026-06-03,1292,Institucional,0.9686793556908406
2026-06-02,2026-06-03,1215,Institucional,0.9657188554951721
2026-06-02,2026-06-03,8484,Itaú Sucursales,0.9691435177431262
2026-06-02,2026-06-03,134,Personal Bank,0.5559985912535559
2026-06-02,2026-06-03,9602,Pymes,0.9775044708749624
2026-06-02,2026-06-03,5330,Pymes,0.9691630379242075
2026-06-02,2026-06-03,9880,Pymes,0.9681605278900156
2026-06-02,2026-06-03,899,Pymes,0.966804739733738
2026-06-02,2026-06-03,3376,Pymes,0.966804739733738
2026-06-02,2026-06-03,2398,Pymes,0.9530320875474695
2026-06-02,2026-06-03,9339,Pymes,0.9487329255126384
2026-06-02,2026-06-03,7470,Pymes,0.9483753638497227
2026-06-02,2026-06-03,9989,Pymes,0.9481995460347818
2026-06-02,2026-06-03,7120,Recuperaciones,0.945074000844336
2026-06-02,2026-06-03,8672,Sin informacion,0.8433958517410525
2026-06-03,2026-06-04,9116,Banca Privada,0.9484094955312034
2026-06-03,2026-06-04,1840,CIB,0.9772800542360622
2026-06-03,2026-06-04,789,CIB,0.9747037735326406
2026-06-03,2026-06-04,5807,CIB,0.9733255917539476
2026-06-03,2026-06-04,10344,CIB,0.9712295967349462
2026-06-03,2026-06-04,4441,CIB,0.9674246978639098
2026-06-03,2026-06-04,5685,CIB,0.9670848599570505
2026-06-03,2026-06-04,9371,CIB,0.9668101640995036
2026-06-03,2026-06-04,869,CIB,0.9661142049916684
2026-06-03,2026-06-04,5789,CIB,0.9658675198578399
2026-06-03,2026-06-04,2978,CIB,0.9655093941287831
2026-06-03,2026-06-04,7684,CIB,0.9653109699145801
2026-06-03,2026-06-04,7063,Constructor,0.8704682410647105
2026-06-03,2026-06-04,9736,Grandes Empresas,0.9764618862519342
2026-06-03,2026-06-04,2016,Grandes Empresas,0.9740963789159618
2026-06-03,2026-06-04,3150,Grandes Empresas,0.9740494185254217
2026-06-03,2026-06-04,1334,Grandes Empresas,0.9713221905967153
2026-06-03,2026-06-04,10166,Grandes Empresas,0.9696927234706884
2026-06-03,2026-06-04,5698,Grandes Empresas,0.969406284891302
2026-06-03,2026-06-04,7503,Grandes Empresas,0.9678062321922346
2026-06-03,2026-06-04,7338,Grandes Empresas,0.9657222482899048
2026-06-03,2026-06-04,5324,Grandes Empresas,0.9649379656346246
2026-06-03,2026-06-04,6305,Grandes Empresas,0.963817602958489
2026-06-03,2026-06-04,5810,Grandes Empresas,0.9633679408425473
2026-06-03,2026-06-04,2155,Grandes Empresas,0.9630083872061196
2026-06-03,2026-06-04,5888,Grandes Empresas,0.9627616657702808
2026-06-03,2026-06-04,2304,Grandes Empresas,0.9619075153697199
2026-06-03,2026-06-04,1666,Grandes Empresas,0.9618665113180805
2026-06-03,2026-06-04,2448,Grandes Empresas,0.9613489432293906
2026-06-03,2026-06-04,1418,Institucional,0.9687536344878543
2026-06-03,2026-06-04,1292,Institucional,0.9684837977319353
2026-06-03,2026-06-04,1215,Institucional,0.9657188554951721
2026-06-03,2026-06-04,8484,Itaú Sucursales,0.9696332908088767
2026-06-03,2026-06-04,134,Personal Bank,0.5592046223630371
2026-06-03,2026-06-04,9602,Pymes,0.9775044708749624
2026-06-03,2026-06-04,5330,Pymes,0.9695490972291931
2026-06-03,2026-06-04,9880,Pymes,0.968454218837535
2026-06-03,2026-06-04,3376,Pymes,0.9672193248193444
2026-06-03,2026-06-04,899,Pymes,0.9672193248193444
2026-06-03,2026-06-04,2398,Pymes,0.9534586166925167
2026-06-03,2026-06-04,9339,Pymes,0.9493613928819007
2026-06-03,2026-06-04,7470,Pymes,0.9488419119980789
2026-06-03,2026-06-04,9989,Pymes,0.9477338280007913
2026-06-03,2026-06-04,7120,Recuperaciones,0.945074000844336
2026-06-03,2026-06-04,3034,Sin informacion,0.8429243952316191
2026-06-04,2026-06-05,9116,Banca Privada,0.9484094955312034
2026-06-04,2026-06-05,1840,CIB,0.9767776728416915
2026-06-04,2026-06-05,789,CIB,0.9747037735326406
2026-06-04,2026-06-05,5807,CIB,0.9733255917539476
